"CODEMPRESA","PROCESSO","DATA","DESCRICAO","DOCUMENTO","INTERNET","ID","DTMAX","IMPMEMO","IMPRESSAO"
332,"10101482720228260020","02/07/2025","ENTREI NO BALCAO VIRTUAL PARA AGILIZAR POREM ESTÃO FAZENDO GUIA DE ABRIL ,E A DO CONDOMINIO E DE JUNHO.","","True",16729,"","","True"
963,"10063023920258260161","03/07/2025","PROT PET REQ PENHORA ON LINE","","True",16730,"","","True"
953,"11626745920248260100","13/07/2025","PROT PET REQ DATAS DE PRAÇAS.","","True",16732,"","","True"
339,"10059292720248260011","03/07/2025","PROT PET JUNTANDO OS HONORARIOS PERICIAIS DE R$ 4.100,00","","True",16735,"","","True"
186,"10706241420248260100","03/07/2025","DO AGUARDE=SE A CONCLUSÃO DO LAUDO PERICIAL .","","True",16736,"","","True"
953,"11710599320248260100","14/07/2025","MANIFESTE-SE O EXEQUENTE SOBRE A DEVOLUÇÃO DOS AVISO DE RECEBIMENTO.
BLOQUEOU R$ 10.688,91 DA ANNA MARIA
PROT PET REQ INTIMAÇÃO POR  OFICIAL DE JUSTIÇA DO BLOQUEIO, BEM COMO A CITAÇÃO DOS DEMAIS EXECUTADOS.","","True",16737,"","","True"
2,"10017921220188260011","21/11/2018","PROTOCOLAMOS PROCURAÇÃO.","","True",89,"","","True"
2,"10017921220188260011","06/12/2018","DO JUNTE A AUTORA CERT ATUALIZADA DE PROTESTO NO VALOR DE R$ 131,00,UMA VEZ QUE O TITULO INDICADO AS FLS 31 NÃO ESTA SENDO DISCUTIDO NESTA DEMANDA.","","True",90,"","","True"
2,"10017921220188260011","07/12/2018","PROT PET JUNTANDO CERTIDÃO","","True",91,"","","True"
2,"10017921220188260011","12/12/2018","DO À RE PARA SE MANIFESTAR ACERCA DO DOCUMENTO JUNTADO PELA AUTORA AS FLS 139 EM 10 DIAS.","","True",92,"","","True"
2,"10017921220188260011","12/02/2019","DO SENTENÇA JULGO PARCIALMENTE PROCEDENTE PARA CONDENAR A PAGAR R$ DE DANOS MORAIS E DETERMINOU QUE RETIRE O PROTESTO DEVENDO A AUTORA PAGAR OS EMOLUMENTOS.","","True",93,"","","True"
2,"10017921220188260011","13/03/2019","PARTE CONTRARIA APELOU DA SENTENÇA","","True",94,"","","True"
