"CODEMPRESA","PROCESSO","CODADVOG"
332,"10111353420208260020",1
332,"10111361920208260020",1
332,"10111388620208260020",1
332,"10121261020208260020",1
334,"10156338920218260554",1
335,"10819836320218260001",1
340,"10212174420218260003",1
343,"10206784420228260100",1
360,"10176268420148260504",1
779,"10502181120208260100",1
779,"10904726020198260100",1
259,"10399790920248260002",1
943,"10299249620248260002",1
259,"10828549120248260002",1
275,"10826322620248260002",1
953,"11626745920248260100",1
953,"11672968420248260100",1
942,"10099442920258260100",1
942,"10099166120258260100",1
934,"10064029120258260006",1
967,"40166403020258260100",1
335,"40035548920258260100",1
1,"40362672320258260002",1
943,"10818874620248260002",1
928,"10207571820258260100",1
924,"40034564520258260152",1
968,"40003711120268260348",1
967,"40065615520268260100",1
972,"40353016020258260002",1
989,"40276296120268260100",1
989,"40277161720268260100",1
989,"40278426720268260100",1
989,"40291929020268260100",1
989,"40292482620268260100",1
884,"10596522920178260100",1
308,"10542443120158260002",1
900,"00083231020098260606",1
916,"10131115020228260006",1
923,"11200234620238260100",1
929,"10001595520248260075",1
308,"50368308220234036100",1
928,"10115190920248260100",1
920,"10071096020248260405",1
934,"10009738620248260586",1
896,"10785866220228260002",1
47,"10009447620238260002",1
912,"10260264920228260001",1
916,"10084509120238260006",1
917,"11109987720218260100",1
917,"11407852020228260100",1
916,"10100349620238260006",1
920,"10239446020238260405",1
946,"10330738520248260007",1
239,"11581233620248260100",1
953,"11673123820248260100",1
953,"11708364320248260100",1
943,"10939353720248260002",1
953,"11672725620248260100",1
260,"10985930720248260002",1
943,"10263624520258260002",1
959,"10161329320258260114",1
960,"10109061820258260564",1
960,"10108290920258260564",1
960,"10108837220258260564",1
959,"10172094020258260114",1
343,"10138473020258260405",1
247,"10594065520258260002",1
958,"40092328520258260100",1
967,"40100287620258260100",1
967,"40099715820258260100",1
967,"40102617320258260100",1
958,"40112767720258260100",1
934,"40030827920258260006",1
259,"40207160320258260002",1
259,"40084256520258260003",1
257,"40036945720258260704",1
984,"40731055920258260100",1
985,"40730969720258260100",1
986,"10198911020258260100",1
958,"40732788320258260100",1
989,"40286723320268260100",1
930,"40133628720268260002",1
989,"40287485720268260100",1
924,"40019336120268260152",1
320,"40046654020268260564",1
259,"10172869420258260002",1
987,"40028174920268260004",1
934,"10009841820248260586",1
304,"11278597020238260100",1
332,"10164304720238260020",1
924,"10111049820238260152",1
939,"10096224320248260003",1
941,"10100095820248260003",1
943,"10301388720248260002",1
943,"10299794720248260002",1
947,"10036951720248260191",1
953,"11771518720248260100",1
943,"40094250620258260002",1
920,"40038125720258260405",1
947,"40006788220258260191",1
967,"40165979320258260100",1
259,"40076851320258260002",1
971,"40171443620258260100",1
958,"40211577820258260100",1
973,"40036648520258260004",1
958,"40220203420258260100",1
958,"40220125720258260100",1
958,"40226716620258260100",1
953,"40257842820258260100",1
953,"40258085620258260100",1
953,"40261194720258260100",1
335,"40282551720258260100",1
943,"40185820320258260002",1
958,"40302133820258260100",1
259,"40207377620258260002",1
975,"00124851820258260564",1
259,"40214219820258260002",1
962,"40224829120258260002",1
967,"40362931820258260100",1
976,"40363191620258260100",1
75,"11759116320248260100",1
